Timestamp,Region,RawOCRResult
2025-04-18 20:31:54,FishName,"[([[np.int32(54), np.int32(58)], [np.int32(180), np.int32(58)], [np.int32(180), np.int32(106)], [np.int32(54), np.int32(106)]], 'Perch', np.float64(0.9999909369526029))]"
2025-04-18 20:31:55,FishWeight,"[([[np.int32(330), np.int32(16)], [np.int32(398), np.int32(16)], [np.int32(398), np.int32(48)], [np.int32(330), np.int32(48)]], '743g', np.float64(0.9962378740310669))]"
2025-04-18 20:31:56,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.7993606134234686)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999718843815716))]"
2025-04-18 20:32:06,Temperature,"[([[np.int32(15), np.int32(18)], [np.int32(129), np.int32(18)], [np.int32(129), np.int32(71)], [np.int32(15), np.int32(71)]], '16.30', np.float64(0.8461232946761821))]"
2025-04-18 20:32:07,WeatherDesc,"[([[np.int32(131), np.int32(13)], [np.int32(173), np.int32(13)], [np.int32(173), np.int32(55)], [np.int32(131), np.int32(55)]], '2', np.float64(0.9662399798039623)), ([[np.int32(180), np.int32(20)], [np.int32(308), np.int32(20)], [np.int32(308), np.int32(48)], [np.int32(180), np.int32(48)]], 'NE 0.3 mls', np.float64(0.5747465687847331))]"
2025-04-18 20:32:09,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.8010675862542532))]"
2025-04-18 20:32:09,GameTime,"[([[np.int32(2), 0], [70, 0], [70, np.int32(30)], [np.int32(2), np.int32(30)]], '12.49', np.float64(0.7269805704575718))]"
2025-04-18 20:32:10,FishName,"[([[np.int32(52), np.int32(56)], [np.int32(190), np.int32(56)], [np.int32(190), np.int32(106)], [np.int32(52), np.int32(106)]], 'Tench', np.float64(0.9986718255818889))]"
2025-04-18 20:32:11,FishWeight,"[([[np.int32(295), np.int32(13)], [np.int32(401), np.int32(13)], [np.int32(401), np.int32(51)], [np.int32(295), np.int32(51)]], '120326g', np.float64(0.6101765725673838))]"
2025-04-18 20:32:12,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.8152132619844512)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999718843815716))]"
2025-04-18 20:35:58,Temperature,"[([[np.int32(16), np.int32(22)], [np.int32(114), np.int32(22)], [np.int32(114), np.int32(70)], [np.int32(16), np.int32(70)]], '17.8', np.float64(0.8511078684172673))]"
2025-04-18 20:35:59,WeatherDesc,"[([[np.int32(131), np.int32(11)], [np.int32(173), np.int32(11)], [np.int32(173), np.int32(55)], [np.int32(131), np.int32(55)]], '2', np.float64(0.9629279247164959)), ([[np.int32(180), np.int32(20)], [np.int32(308), np.int32(20)], [np.int32(308), np.int32(48)], [np.int32(180), np.int32(48)]], 'NE 0.3 mls', np.float64(0.8783044020565214))]"
2025-04-18 20:36:01,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7961294529462702))]"
2025-04-18 20:36:02,GameTime,"[([[np.int32(2), 0], [70, 0], [70, np.int32(30)], [np.int32(2), np.int32(30)]], '13.52', np.float64(0.3841709971160422))]"
2025-04-18 20:36:03,FishName,"[([[np.int32(52), np.int32(56)], [np.int32(176), np.int32(56)], [np.int32(176), np.int32(106)], [np.int32(52), np.int32(106)]], 'Chub', np.float64(0.6605173886628498))]"
2025-04-18 20:36:04,FishWeight,"[([[np.int32(295), np.int32(13)], [np.int32(401), np.int32(13)], [np.int32(401), np.int32(51)], [np.int32(295), np.int32(51)]], '12876g', np.float64(0.982459704845603))]"
2025-04-18 20:36:05,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.795048135080346)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999704876054113))]"
2025-04-18 20:36:13,Temperature,"[([[np.int32(16), np.int32(22)], [np.int32(114), np.int32(22)], [np.int32(114), np.int32(70)], [np.int32(16), np.int32(70)]], '17.9', np.float64(0.5922788298483791))]"
2025-04-18 20:36:14,WeatherDesc,"[([[np.int32(135), np.int32(13)], [np.int32(311), np.int32(13)], [np.int32(311), np.int32(51)], [np.int32(135), np.int32(51)]], '3 NE 0.3 mls', np.float64(0.3321194324226277))]"
2025-04-18 20:36:16,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.8074822077805323))]"
2025-04-18 20:36:17,GameTime,"[([[np.int32(2), 0], [np.int32(68), 0], [np.int32(68), np.int32(30)], [np.int32(2), np.int32(30)]], '13.51', np.float64(0.805539209831854))]"
2025-04-18 20:36:18,FishName,"[([[np.int32(54), np.int32(58)], [np.int32(180), np.int32(58)], [np.int32(180), np.int32(106)], [np.int32(54), np.int32(106)]], 'Perch', np.float64(0.9999909369526029))]"
2025-04-18 20:36:18,FishWeight,"[([[np.int32(327), np.int32(13)], [np.int32(399), np.int32(13)], [np.int32(399), np.int32(49)], [np.int32(327), np.int32(49)]], '267g', np.float64(0.9979045987129211))]"
2025-04-18 20:36:20,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.8126956228921777)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999713887513932))]"
2025-04-18 20:42:04,Temperature,"[([[np.int32(105), np.int32(25)], [np.int32(123), np.int32(25)], [np.int32(123), np.int32(47)], [np.int32(105), np.int32(47)]], '0', np.float64(0.9996841203316222)), ([[np.int32(16), np.int32(22)], [np.int32(110), np.int32(22)], [np.int32(110), np.int32(70)], [np.int32(16), np.int32(70)]], '18.1', np.float64(0.9986698031425476))]"
2025-04-18 20:42:05,WeatherDesc,"[([[np.int32(131), np.int32(13)], [np.int32(173), np.int32(13)], [np.int32(173), np.int32(55)], [np.int32(131), np.int32(55)]], '2', np.float64(0.17735238590549685)), ([[np.int32(180), np.int32(20)], [np.int32(308), np.int32(20)], [np.int32(308), np.int32(48)], [np.int32(180), np.int32(48)]], 'NE 0,3 mls', np.float64(0.40506789564340656))]"
2025-04-18 20:42:07,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7497550795984252))]"
2025-04-18 20:42:07,GameTime,"[([[np.int32(2), np.int32(2)], [np.int32(68), np.int32(2)], [np.int32(68), np.int32(28)], [np.int32(2), np.int32(28)]], '15.47', np.float64(0.8120408097913452))]"
2025-04-18 20:42:08,FishName,"[([[np.int32(54), np.int32(58)], [np.int32(180), np.int32(58)], [np.int32(180), np.int32(106)], [np.int32(54), np.int32(106)]], 'Perch', np.float64(0.9999909369526029))]"
2025-04-18 20:42:09,FishWeight,"[([[np.int32(330), np.int32(16)], [np.int32(398), np.int32(16)], [np.int32(398), np.int32(48)], [np.int32(330), np.int32(48)]], '100g', np.float64(0.9798413515090942))]"
2025-04-18 20:42:10,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.8230709843117767)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999752186188912))]"
2025-04-18 20:42:18,Temperature,"[([[np.int32(15), np.int32(19)], [np.int32(128), np.int32(19)], [np.int32(128), np.int32(71)], [np.int32(15), np.int32(71)]], '18.10', np.float64(0.5652105329870203))]"
2025-04-18 20:42:19,WeatherDesc,"[([[np.int32(133), np.int32(13)], [np.int32(309), np.int32(13)], [np.int32(309), np.int32(55)], [np.int32(133), np.int32(55)]], '2 NE 0i2 m/s', np.float64(0.42079954136391656))]"
2025-04-18 20:42:21,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7875608232138518))]"
2025-04-18 20:42:22,GameTime,"[([[np.int32(2), np.int32(2)], [np.int32(70), np.int32(2)], [np.int32(70), np.int32(30)], [np.int32(2), np.int32(30)]], '17.02', np.float64(0.9975050565588771))]"
2025-04-18 20:42:23,FishName,"[([[np.int32(52), np.int32(56)], [np.int32(190), np.int32(56)], [np.int32(190), np.int32(106)], [np.int32(52), np.int32(106)]], 'Tench', np.float64(0.9986718255818889))]"
2025-04-18 20:42:23,FishWeight,"[([[np.int32(325), np.int32(12)], [np.int32(399), np.int32(12)], [np.int32(399), np.int32(49)], [np.int32(325), np.int32(49)]], '568g', np.float64(0.9938656091690063))]"
2025-04-18 20:42:25,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.7992572635228972)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999718843815716))]"
2025-04-18 20:50:14,Temperature,"[([[np.int32(16), np.int32(22)], [np.int32(126), np.int32(22)], [np.int32(126), np.int32(70)], [np.int32(16), np.int32(70)]], '15.19', np.float64(0.41148709844886894))]"
2025-04-18 20:50:15,WeatherDesc,"[([[np.int32(133), np.int32(13)], [np.int32(311), np.int32(13)], [np.int32(311), np.int32(51)], [np.int32(133), np.int32(51)]], '23 NE 0.4 m/s_', np.float64(0.35370778293561556))]"
2025-04-18 20:50:17,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7497550795984252))]"
2025-04-18 20:50:17,GameTime,"[([[np.int32(2), np.int32(2)], [70, np.int32(2)], [70, np.int32(30)], [np.int32(2), np.int32(30)]], '17.59', np.float64(0.6352623579329623))]"
2025-04-18 20:50:18,FishName,"[([[np.int32(54), np.int32(58)], [np.int32(180), np.int32(58)], [np.int32(180), np.int32(106)], [np.int32(54), np.int32(106)]], 'Perch', np.float64(0.9999909369526029))]"
2025-04-18 20:50:19,FishWeight,"[([[np.float64(329.9563638994289), np.float64(8.138546427886935)], [np.float64(403.85783314734755), np.float64(19.9430594116856)], [np.float64(398.0436361005711), np.float64(52.861453572113064)], [np.float64(323.14216685265245), np.float64(42.056940588314404)]], '377g', np.float64(0.8816648534461794))]"
2025-04-18 20:50:20,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.800288940146619)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.999971704152425))]"
2025-04-18 20:50:30,Temperature,"[([[np.int32(16), np.int32(20)], [np.int32(92), np.int32(20)], [np.int32(92), np.int32(68)], [np.int32(16), np.int32(68)]], '150', np.float64(0.8491070785366054))]"
2025-04-18 20:50:30,WeatherDesc,"[([[np.int32(133), np.int32(15)], [np.int32(173), np.int32(15)], [np.int32(173), np.int32(55)], [np.int32(133), np.int32(55)]], '23', np.float64(0.8630048816292659)), ([[np.int32(180), np.int32(20)], [np.int32(308), np.int32(20)], [np.int32(308), np.int32(48)], [np.int32(180), np.int32(48)]], 'NE 04 mls', np.float64(0.6579727625795628))]"
2025-04-18 20:50:32,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7875608232138518))]"
2025-04-18 20:50:33,GameTime,"[([[np.int32(2), 0], [70, 0], [70, np.int32(30)], [np.int32(2), np.int32(30)]], '17.48', np.float64(0.9947973732107835))]"
2025-04-18 20:50:34,FishName,"[([[np.int32(54), np.int32(58)], [np.int32(196), np.int32(58)], [np.int32(196), np.int32(106)], [np.int32(54), np.int32(106)]], 'Bream', np.float64(0.5698617005040816))]"
2025-04-18 20:50:35,FishWeight,"[([[np.int32(327), np.int32(15)], [np.int32(401), np.int32(15)], [np.int32(401), np.int32(51)], [np.int32(327), np.int32(51)]], '494g', np.float64(0.8139749765396118))]"
2025-04-18 20:50:36,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.8221652075894419)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999705777200213))]"
2025-04-18 20:52:42,Temperature,"[([[np.int32(16), np.int32(22)], [np.int32(114), np.int32(22)], [np.int32(114), np.int32(70)], [np.int32(16), np.int32(70)]], '14.9', np.float64(0.8198395882134388))]"
2025-04-18 20:52:43,WeatherDesc,"[([[np.int32(127), np.int32(11)], [np.int32(319), np.int32(11)], [np.int32(319), np.int32(55)], [np.int32(127), np.int32(55)]], '2 NW 1.7 m/s', np.float64(0.6943190450852352))]"
2025-04-18 20:52:44,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.7772158804598618))]"
2025-04-18 20:52:45,GameTime,"[([[np.int32(2), 0], [np.int32(70), 0], [np.int32(70), np.int32(30)], [np.int32(2), np.int32(30)]], '21.11', np.float64(0.9985442436185713))]"
2025-04-18 20:52:46,FishName,"[([[np.int32(52), np.int32(56)], [np.int32(190), np.int32(56)], [np.int32(190), np.int32(106)], [np.int32(52), np.int32(106)]], 'Tench', np.float64(0.9986718255818889))]"
2025-04-18 20:52:47,FishWeight,"[([[np.int32(329), np.int32(15)], [np.int32(401), np.int32(15)], [np.int32(401), np.int32(51)], [np.int32(329), np.int32(51)]], '189g', np.float64(0.5761648416519165))]"
2025-04-18 20:52:48,BaitInfo,"[([[0, np.int32(4)], [np.int32(52), np.int32(4)], [np.int32(52), np.int32(30)], [0, np.int32(30)]], 'Bait', np.float64(0.7549066966549122)), ([[np.int32(34), np.int32(30)], [np.int32(158), np.int32(30)], [np.int32(158), np.int32(60)], [np.int32(34), np.int32(60)]], 'Redworm', np.float64(0.9999718393242859))]"
2025-04-18 20:53:14,Temperature,"[([[np.int32(16), np.int32(22)], [np.int32(114), np.int32(22)], [np.int32(114), np.int32(70)], [np.int32(16), np.int32(70)]], '14.9', np.float64(0.7715623196547835))]"
2025-04-18 20:53:15,WeatherDesc,"[([[np.int32(131), np.int32(13)], [np.int32(313), np.int32(13)], [np.int32(313), np.int32(55)], [np.int32(131), np.int32(55)]], '2 NW 2.1 m/s', np.float64(0.8850215530320248))]"
2025-04-18 20:53:17,MapName,"[([[np.int32(36), 0], [np.int32(221), 0], [np.int32(221), 36], [np.int32(36), 36]], 'Mosquito Lake', np.float64(0.8131921187645682))]"
2025-04-18 20:53:18,GameTime,"[([[np.int32(2), 0], [np.int32(70), 0], [np.int32(70), np.int32(30)], [np.int32(2), np.int32(30)]], '21.57', np.float64(0.9997433520721704))]"
2025-04-18 20:53:19,FishName,"[([[np.int32(52), np.int32(56)], [np.int32(394), np.int32(56)], [np.int32(394), np.int32(106)], [np.int32(52), np.int32(106)]], 'Common Roach', np.float64(0.9993983779255683))]"
2025-04-18 20:53:20,FishWeight,"[([[np.float64(329.9563638994289), np.float64(8.138546427886935)], [np.float64(403.8441023725), np.float64(18.894162331198636)], [np.float64(398.0436361005711), np.float64(52.861453572113064)], [np.float64(323.1558976275), np.float64(42.105837668801364)]], '656g', np.float64(0.8452098965644836))]"
